fips,familyCode,weightCensus,ageAdjustment,weightFinal,
41041,a1i0p0s1t1,,0.497,,
41041,a1i0p0s0t2,,0.213,,
41041,a2i2p0s0t0,,0.25,,
41041,a2i1p1s0t0,,0.5,,
41041,a2i1p0s1t0,,0.2692,,
41041,a2i1p0s0t1,,0.2308,,
41041,a2i0p2s0t0,,0.25,,
41041,a2i0p1s1t0,,0.2692,,
41041,a2i0p1s0t1,,0.2308,,
41041,a2i0p0s2t0,,0.2899,,
41041,a2i0p0s1t1,,0.497,,
41041,a2i0p0s0t2,,0.213,,
41043,a1i2p0s0t0,,0.25,,
41043,a1i1p1s0t0,,0.5,,
41043,a1i1p0s1t0,,0.2692,,
41043,a1i1p0s0t1,,0.2308,,
41043,a1i0p2s0t0,,0.25,,
41043,a1i0p1s1t0,,0.2692,,
41043,a1i0p1s0t1,,0.2308,,
41043,a1i0p0s2t0,,0.2899,,
41043,a1i0p0s1t1,,0.497,,
41043,a1i0p0s0t2,,0.213,,
41043,a2i2p0s0t0,,0.25,,
41043,a2i1p1s0t0,,0.5,,
41043,a2i1p0s1t0,,0.2692,,
41043,a2i1p0s0t1,,0.2308,,
41043,a2i0p2s0t0,,0.25,,
41043,a2i0p1s1t0,,0.2692,,
41043,a2i0p1s0t1,,0.2308,,
41043,a2i0p0s2t0,,0.2899,,
41043,a2i0p0s1t1,,0.497,,
41043,a2i0p0s0t2,,0.213,,
41045,a1i2p0s0t0,,0.25,,
41045,a1i1p1s0t0,,0.5,,
41045,a1i1p0s1t0,,0.2692,,
41045,a1i1p0s0t1,,0.2308,,
41045,a1i0p2s0t0,,0.25,,
41045,a1i0p1s1t0,,0.2692,,
41045,a1i0p1s0t1,,0.2308,,
41045,a1i0p0s2t0,,0.2899,,
41045,a1i0p0s1t1,,0.497,,
41045,a1i0p0s0t2,,0.213,,
41045,a2i2p0s0t0,,0.25,,
41045,a2i1p1s0t0,,0.5,,
41045,a2i1p0s1t0,,0.2692,,
41045,a2i1p0s0t1,,0.2308,,
41045,a2i0p2s0t0,,0.25,,
41045,a2i0p1s1t0,,0.2692,,
41045,a2i0p1s0t1,,0.2308,,
41045,a2i0p0s2t0,,0.2899,,
41045,a2i0p0s1t1,,0.497,,
41045,a2i0p0s0t2,,0.213,,
41047,a1i2p0s0t0,,0.25,,
41047,a1i1p1s0t0,,0.5,,
41047,a1i1p0s1t0,,0.2692,,
41047,a1i1p0s0t1,,0.2308,,
41047,a1i0p2s0t0,,0.25,,
41047,a1i0p1s1t0,,0.2692,,
41047,a1i0p1s0t1,,0.2308,,
41047,a1i0p0s2t0,,0.2899,,
41047,a1i0p0s1t1,,0.497,,
41047,a1i0p0s0t2,,0.213,,
41047,a2i2p0s0t0,,0.25,,
41047,a2i1p1s0t0,,0.5,,
41047,a2i1p0s1t0,,0.2692,,
41047,a2i1p0s0t1,,0.2308,,
41047,a2i0p2s0t0,,0.25,,
41047,a2i0p1s1t0,,0.2692,,
41047,a2i0p1s0t1,,0.2308,,
41047,a2i0p0s2t0,,0.2899,,
41047,a2i0p0s1t1,,0.497,,
41047,a2i0p0s0t2,,0.213,,
41049,a1i2p0s0t0,,0.25,,
41049,a1i1p1s0t0,,0.5,,
41049,a1i1p0s1t0,,0.2692,,
41049,a1i1p0s0t1,,0.2308,,
41049,a1i0p2s0t0,,0.25,,
41049,a1i0p1s1t0,,0.2692,,
41049,a1i0p1s0t1,,0.2308,,
41049,a1i0p0s2t0,,0.2899,,
41049,a1i0p0s1t1,,0.497,,
41049,a1i0p0s0t2,,0.213,,
41049,a2i2p0s0t0,,0.25,,
41049,a2i1p1s0t0,,0.5,,
41049,a2i1p0s1t0,,0.2692,,
41049,a2i1p0s0t1,,0.2308,,
41049,a2i0p2s0t0,,0.25,,
41049,a2i0p1s1t0,,0.2692,,
41049,a2i0p1s0t1,,0.2308,,
41049,a2i0p0s2t0,,0.2899,,
41049,a2i0p0s1t1,,0.497,,
41049,a2i0p0s0t2,,0.213,,
41051,a1i2p0s0t0,,0.25,,
41051,a1i1p1s0t0,,0.5,,
41051,a1i1p0s1t0,,0.2692,,
41051,a1i1p0s0t1,,0.2308,,
41051,a1i0p2s0t0,,0.25,,
41051,a1i0p1s1t0,,0.2692,,
41051,a1i0p1s0t1,,0.2308,,
41051,a1i0p0s2t0,,0.2899,,
41051,a1i0p0s1t1,,0.497,,
41051,a1i0p0s0t2,,0.213,,
41051,a2i2p0s0t0,,0.25,,
41051,a2i1p1s0t0,,0.5,,
41051,a2i1p0s1t0,,0.2692,,
41051,a2i1p0s0t1,,0.2308,,
41051,a2i0p2s0t0,,0.25,,
41051,a2i0p1s1t0,,0.2692,,
41051,a2i0p1s0t1,,0.2308,,
41051,a2i0p0s2t0,,0.2899,,
41051,a2i0p0s1t1,,0.497,,
41051,a2i0p0s0t2,,0.213,,
41053,a1i2p0s0t0,,0.25,,
41053,a1i1p1s0t0,,0.5,,
41053,a1i1p0s1t0,,0.2692,,
41053,a1i1p0s0t1,,0.2308,,
41053,a1i0p2s0t0,,0.25,,
41053,a1i0p1s1t0,,0.2692,,
41053,a1i0p1s0t1,,0.2308,,
41053,a1i0p0s2t0,,0.2899,,
41053,a1i0p0s1t1,,0.497,,
41053,a1i0p0s0t2,,0.213,,
41053,a2i2p0s0t0,,0.25,,
41053,a2i1p1s0t0,,0.5,,
41053,a2i1p0s1t0,,0.2692,,
41053,a2i1p0s0t1,,0.2308,,
41053,a2i0p2s0t0,,0.25,,
41053,a2i0p1s1t0,,0.2692,,
41053,a2i0p1s0t1,,0.2308,,
41053,a2i0p0s2t0,,0.2899,,
41053,a2i0p0s1t1,,0.497,,
41053,a2i0p0s0t2,,0.213,,
41055,a1i2p0s0t0,,0.25,,
41055,a1i1p1s0t0,,0.5,,
41055,a1i1p0s1t0,,0.2692,,
41055,a1i1p0s0t1,,0.2308,,
41055,a1i0p2s0t0,,0.25,,
41055,a1i0p1s1t0,,0.2692,,
41055,a1i0p1s0t1,,0.2308,,
41055,a1i0p0s2t0,,0.2899,,
41055,a1i0p0s1t1,,0.497,,
41055,a1i0p0s0t2,,0.213,,
41055,a2i2p0s0t0,,0.25,,
41055,a2i1p1s0t0,,0.5,,
41055,a2i1p0s1t0,,0.2692,,
41055,a2i1p0s0t1,,0.2308,,
41055,a2i0p2s0t0,,0.25,,
41055,a2i0p1s1t0,,0.2692,,
41055,a2i0p1s0t1,,0.2308,,
41055,a2i0p0s2t0,,0.2899,,
41055,a2i0p0s1t1,,0.497,,
41055,a2i0p0s0t2,,0.213,,
41057,a1i2p0s0t0,,0.25,,
41057,a1i1p1s0t0,,0.5,,
41057,a1i1p0s1t0,,0.2692,,
41057,a1i1p0s0t1,,0.2308,,
41057,a1i0p2s0t0,,0.25,,
41057,a1i0p1s1t0,,0.2692,,
41057,a1i0p1s0t1,,0.2308,,
41057,a1i0p0s2t0,,0.2899,,
41057,a1i0p0s1t1,,0.497,,
41057,a1i0p0s0t2,,0.213,,
41057,a2i2p0s0t0,,0.25,,
41057,a2i1p1s0t0,,0.5,,
41057,a2i1p0s1t0,,0.2692,,
41057,a2i1p0s0t1,,0.2308,,
41057,a2i0p2s0t0,,0.25,,
41057,a2i0p1s1t0,,0.2692,,
41057,a2i0p1s0t1,,0.2308,,
41057,a2i0p0s2t0,,0.2899,,
41057,a2i0p0s1t1,,0.497,,
41057,a2i0p0s0t2,,0.213,,
41059,a1i2p0s0t0,,0.25,,
41059,a1i1p1s0t0,,0.5,,
41059,a1i1p0s1t0,,0.2692,,
41059,a1i1p0s0t1,,0.2308,,
41059,a1i0p2s0t0,,0.25,,
41059,a1i0p1s1t0,,0.2692,,
41059,a1i0p1s0t1,,0.2308,,
41059,a1i0p0s2t0,,0.2899,,
41059,a1i0p0s1t1,,0.497,,
41059,a1i0p0s0t2,,0.213,,
41059,a2i2p0s0t0,,0.25,,
41059,a2i1p1s0t0,,0.5,,
41059,a2i1p0s1t0,,0.2692,,
41059,a2i1p0s0t1,,0.2308,,
41059,a2i0p2s0t0,,0.25,,
41059,a2i0p1s1t0,,0.2692,,
41059,a2i0p1s0t1,,0.2308,,
41059,a2i0p0s2t0,,0.2899,,
41059,a2i0p0s1t1,,0.497,,
41059,a2i0p0s0t2,,0.213,,
41061,a1i2p0s0t0,,0.25,,
41061,a1i1p1s0t0,,0.5,,
41061,a1i1p0s1t0,,0.2692,,
41061,a1i1p0s0t1,,0.2308,,
41061,a1i0p2s0t0,,0.25,,
41061,a1i0p1s1t0,,0.2692,,
41061,a1i0p1s0t1,,0.2308,,
41061,a1i0p0s2t0,,0.2899,,
41061,a1i0p0s1t1,,0.497,,
41061,a1i0p0s0t2,,0.213,,
41061,a2i2p0s0t0,,0.25,,
41061,a2i1p1s0t0,,0.5,,
41061,a2i1p0s1t0,,0.2692,,
41061,a2i1p0s0t1,,0.2308,,
41061,a2i0p2s0t0,,0.25,,
41061,a2i0p1s1t0,,0.2692,,
41061,a2i0p1s0t1,,0.2308,,
41061,a2i0p0s2t0,,0.2899,,
41061,a2i0p0s1t1,,0.497,,
41061,a2i0p0s0t2,,0.213,,
41063,a1i2p0s0t0,,0.25,,
41063,a1i1p1s0t0,,0.5,,
41063,a1i1p0s1t0,,0.2692,,
41063,a1i1p0s0t1,,0.2308,,
41063,a1i0p2s0t0,,0.25,,
