"","fips","familyCode","ageAdjustment","marriedUnder6","marriedOver6","marriedBoth","unmarriedUnder6","unmarriedOver6","unmarriedBoth"
"159",41013,"a2i0p0s1t1",0.497,0.161,0.587,0.253,0.839,0.413,0.747
"160",41013,"a2i0p0s0t2",0.213,0.161,0.587,0.253,0.839,0.413,0.747
"161",41015,"a1i2p0s0t0",0.25,0.267,0.537,0.196,0.733,0.463,0.804
"162",41015,"a1i1p1s0t0",0.5,0.267,0.537,0.196,0.733,0.463,0.804
"163",41015,"a1i1p0s1t0",0.2692,0.267,0.537,0.196,0.733,0.463,0.804
"164",41015,"a1i1p0s0t1",0.2308,0.267,0.537,0.196,0.733,0.463,0.804
"165",41015,"a1i0p2s0t0",0.25,0.267,0.537,0.196,0.733,0.463,0.804
"166",41015,"a1i0p1s1t0",0.2692,0.267,0.537,0.196,0.733,0.463,0.804
"167",41015,"a1i0p1s0t1",0.2308,0.267,0.537,0.196,0.733,0.463,0.804
"168",41015,"a1i0p0s2t0",0.2899,0.267,0.537,0.196,0.733,0.463,0.804
"169",41015,"a1i0p0s1t1",0.497,0.267,0.537,0.196,0.733,0.463,0.804
"170",41015,"a1i0p0s0t2",0.213,0.267,0.537,0.196,0.733,0.463,0.804
"171",41015,"a2i2p0s0t0",0.25,0.267,0.537,0.196,0.733,0.463,0.804
"172",41015,"a2i1p1s0t0",0.5,0.267,0.537,0.196,0.733,0.463,0.804
"173",41015,"a2i1p0s1t0",0.2692,0.267,0.537,0.196,0.733,0.463,0.804
"174",41015,"a2i1p0s0t1",0.2308,0.267,0.537,0.196,0.733,0.463,0.804
"175",41015,"a2i0p2s0t0",0.25,0.267,0.537,0.196,0.733,0.463,0.804
"176",41015,"a2i0p1s1t0",0.2692,0.267,0.537,0.196,0.733,0.463,0.804
"177",41015,"a2i0p1s0t1",0.2308,0.267,0.537,0.196,0.733,0.463,0.804
"178",41015,"a2i0p0s2t0",0.2899,0.267,0.537,0.196,0.733,0.463,0.804
"179",41015,"a2i0p0s1t1",0.497,0.267,0.537,0.196,0.733,0.463,0.804
"180",41015,"a2i0p0s0t2",0.213,0.267,0.537,0.196,0.733,0.463,0.804
"181",41017,"a1i2p0s0t0",0.25,0.207,0.574,0.219,0.793,0.426,0.781
"182",41017,"a1i1p1s0t0",0.5,0.207,0.574,0.219,0.793,0.426,0.781
"183",41017,"a1i1p0s1t0",0.2692,0.207,0.574,0.219,0.793,0.426,0.781
"184",41017,"a1i1p0s0t1",0.2308,0.207,0.574,0.219,0.793,0.426,0.781
"185",41017,"a1i0p2s0t0",0.25,0.207,0.574,0.219,0.793,0.426,0.781
"186",41017,"a1i0p1s1t0",0.2692,0.207,0.574,0.219,0.793,0.426,0.781
"187",41017,"a1i0p1s0t1",0.2308,0.207,0.574,0.219,0.793,0.426,0.781
"188",41017,"a1i0p0s2t0",0.2899,0.207,0.574,0.219,0.793,0.426,0.781
"189",41017,"a1i0p0s1t1",0.497,0.207,0.574,0.219,0.793,0.426,0.781
"190",41017,"a1i0p0s0t2",0.213,0.207,0.574,0.219,0.793,0.426,0.781
"191",41017,"a2i2p0s0t0",0.25,0.207,0.574,0.219,0.793,0.426,0.781
"192",41017,"a2i1p1s0t0",0.5,0.207,0.574,0.219,0.793,0.426,0.781
"193",41017,"a2i1p0s1t0",0.2692,0.207,0.574,0.219,0.793,0.426,0.781
"194",41017,"a2i1p0s0t1",0.2308,0.207,0.574,0.219,0.793,0.426,0.781
"195",41017,"a2i0p2s0t0",0.25,0.207,0.574,0.219,0.793,0.426,0.781
"196",41017,"a2i0p1s1t0",0.2692,0.207,0.574,0.219,0.793,0.426,0.781
"197",41017,"a2i0p1s0t1",0.2308,0.207,0.574,0.219,0.793,0.426,0.781
"198",41017,"a2i0p0s2t0",0.2899,0.207,0.574,0.219,0.793,0.426,0.781
"199",41017,"a2i0p0s1t1",0.497,0.207,0.574,0.219,0.793,0.426,0.781
